participant,paragraph,speaker,text
participant9,282,Mother ,So there's just… there's pain that just presents?
participant9,283,Interviewer ,"There's pain, yeah.  You get severe pain in your testicle just come and the other thing is well to say is that it's probably best just to come to the hospital. "
participant9,284,Mother ,Straightaway? 
participant9,285,Interviewer ,"Yeah, because your GP won't be able to do the operation, so it would be to come to the… "
participant9,286,Interviewee ,Do they just give an operation straightaway?
participant9,287,Interviewer ,"Pretty much, yeah as soon as we can get theatres sorted and there's a bit of organisation on our part but yeah it's that kind of thing where we get theatres most but we generally get you to theatre within maybe an hour something like that.  So that's why "
participant9,288,Mother ,So do you have a sudden onset?
participant9,289,Interviewer ,"Yeah and it's quite severe.  I mean, it's the sort of thing where it starts quite quickly, sudden and then it's very sore."
participant9,290,Interviewee ,How sore?
participant9,291,Interviewer ,It would make you go enough.
participant9,292,Interviewer ,But I do know also having been… doing this job I have known young people to just keep quiet and not say anything at all about it because they're a bit shy or because they're hoping it will go away and that's the worst thing if you hope it goes away becaus
participant9,293,Interviewee ,So we won't do that.
participant9,294,Interviewer ,"Yeah exactly, if it ever happens we'll save you [laughter].  That's the message if there's any problem you can always talk to your Mother or dad, yeah and when you're a bit older you can see your doctor yourself as well. "
participant9,295,Mother ,"Yeah, yeah."
participant9,296,Interviewer ,"Okay, fantastic work.  Let me have a quick look, let me have a quick look, great.  Well look, I really appreciate your time thank you so much that's all really from my point of view, anything else from your point of view?"
participant9,297,Interviewee ,No.
participant9,298,Interviewer ,"Okay, all right well I will stop this then. "
participant10,1,Mother ,Alright?
participant10,2,Interviewer  ,"That sounds like a good idea. Right, so. Thank you."
participant10,3,Mother  ,(unclear 00:04) 
participant10,4,Interviewer  ,"Exactly. It's all very important, these things. So thank you so much for agreeing to do this. So I guess the first thing just to ask is have you heard the word ""testicles"" before? "
participant10,5, Interviewee ,Yup.
participant10,6,Interviewer ,"Good, great, we're starting well, starting strong. And what words would you use? How would you describe them normally? "
participant10,7, Interviewee ,Balls.
participant10,8,Interviewer ,"Balls, yeah. That seems pretty--"
participant10,9, Interviewee ,"Especially informally, yeah. That's all, really."
participant10,10,Interviewer ,"Fine. Do you think you'd ever use the word ""testicles""?"
participant10,11, Interviewee ,If it was our PSHE class where you may be talking about that kind of stuff.
participant10,12,Interviewer ,"Okay, fine. And how would it feel to use the word ""testicles"" rather than ""balls""?"
participant10,13, Interviewee ,"It would just be a bit different and weird. I wouldn't avoid using it but it just wouldn't be what I usually say. It would feel a bit different, probably."
participant10,14,Interviewer ,"So it might feel formal and it might feel like you're doing it maybe in a school setting or like a formal setting or something like that, rather than if you were talking to maybe your family or your mates? "
participant10,15, Interviewee ,Yeah.
participant10,16,Interviewer ,So do you think you'd use the same word with your Mother and dad as you would with your friends? What words do you think--do you think it would differ at all?
participant10,17, Interviewee ,"I wouldn't say so, no. Wait, do you mean testicles or balls? What word--"
participant10,18,Interviewer ,"Yeah, yeah. You said that you use ""balls"" more probably, and if you were to speak to your Mother and dad about anything, would you use the word ""balls"" do you think? Or do you speak to your Mother and dad about these kind of things? "
participant10,19, Interviewee ,Probably be balls. 
participant10,20,Interviewer ,"It'd probably be balls, yeah. I think it's a pretty good word, yeah. Pretty straightforward. Fine, and have you ever had a situation where you've had to talk to your family or your--have you ever had any concerns yourself or have you ever spoken to your f"
participant10,21, Interviewee ,"No, once or twice I've spoken to Mother. "
participant10,22,Interviewer ,"Okay, alright. So you mentioned a bit earlier about PSHCE. I know loads of different schools call them differently. So you've had lessons in the past, yeah? "
participant10,23, Interviewee ,"Not this year yet but every year. I went to Broomhill Primary School over there. I'm in Jordanhill Secondary just now, and at Broomhill, at the end, like, P6 and 7, we did a bit about that in, like, sexual health and relationships through the council curr"
participant10,24,Interviewer ,"Okay, that's interesting. "
participant10,25, Interviewee ,"But, yeah, we've done a bit about body parts and stuff like that, sexual health. "
participant10,26,Interviewer ,"Fine, so--and what kind of stuff have they talked about in those lessons, then? "
participant10,27, Interviewee ,"Just like, the proper scientific names for different parts inside your balls."
participant10,28,Interviewer ,"Fine, so kind of anatomy and the different bits within your balls so could you label, like, a diagram and stuff like that?"
participant10,29, Interviewee ,"Maybe. But, yeah, that's what we learn in school, different parts of the vagina as well and stuff like that. "
participant10,30,Interviewer ,"Fine. Did it feel quite like--did it feel helpful to you or did it feel kind of like you were learning it for learning's sake, do you know, like, did it feel like it was something helpful for you when you had those lessons? "
participant10,31, Interviewee ,"Well, yes, 'cause it's quite important, I guess. Probably more than some other things we do in school. "
participant10,32,Interviewer ,"Yeah, true. True, true. And so that was part of sex ed., was it? So they were teaching you about sex and about reproduction, about--"
participant10,33, Interviewee ,"Well, that, properly about sex is coming this year. That's what we're gonna do this year but we done a bit about that last year, yeah. "
participant10,34,Interviewer ,"Okay, alright. And so did they talk about the actual what your testicles do? Like, what the function of them is? "
participant10,35, Interviewee ,"A little bit, I think. "
participant10,36,Interviewer ,"A little, yeah."
participant10,37, Interviewee ,Yeah.
participant10,38,Interviewer ,"And do you think you could clearly state, like, tell me what they do or is it clear in your mind, do you think or--"
participant10,39, Interviewee ,"Yeah, sort of but--yeah, it seems pretty clear. "
participant10,40,Interviewer ,"Yeah, so would you be able to tell us what testicles do or is it slightly awkward to talk about?"
participant10,41, Interviewee ,I don't wanna say it in case its wrong and I don't want to embarrass myself but I'm pretty sure that they produce sperm. 
participant10,42,Interviewer ,"Yeah, absolutely right, yeah. "
participant10,43, Interviewee ,"Yes, that's what I would say. "
participant10,44,Interviewer ,"Yeah, you're absolutely right. Yeah, and you don't need to worry about not saying the right answer in here. This is absolutely--there is no wrong answers and actually--so you said that you'd be a bit worried to be wrong. Is that something that would proba"
participant10,45, Interviewee ,"Yeah, if they're--yeah, because it would be quite embarrassing to not actually know. "
participant10,46,Interviewer ,"Yes, [laughing]. Yeah, yeah, but I guess if no one's ever explained it to you really well, how are you meant to know? 'Cause also, the other thing they do a lot, is produce hormones. And so I don't know if they mentioned that aspect of it as well as the s"
participant10,47, Interviewee ,"Yeah, I knew that they produced hormones. "
participant10,48,Interviewer ,"Yeah, yeah. So do you think that was in the same--was that in your PSHC lessons, do you think, or was it--"
participant10,49, Interviewee ,It's about biology as well. 
participant10,50,Interviewer ,"Yeah, yeah, so you covered a bit of the function and anatomy and things like that, yeah, in biology. Fine, and how do you feel about talking about testicles or balls? "
participant10,51, Interviewee ,"Kind of like, I don't enjoy talking about it but I'm not, like, that bothered with--I don't really--I'm not super-embarrassed about it, I wouldn't say. "
participant10,52,Interviewer ,"Yeah, so if you need to talk about it, you would. Are there situations where you might feel more difficult in talking about things like testicles? "
participant10,53, Interviewee ,"Well, probably in class if specific questions were asked, it would be a bit uncomfortable in a class full of friends and stuff. It would be a bit weird but not that--I've done it before and it's not, like, life-changing. It's just a bit uncomfortable. "
participant10,54,Interviewer ,"Yeah, and so if I was to stand in front of your class and ask the question I asked you, ""What does a testicle do?"" what do you think people would--"
participant10,55, Interviewee ,"Fine, but I think if someone knew it, it would probably be said and probably have giggles. People would probably laugh and stuff, but someone would say it, I think, in my class anyway. "
participant10,56,Interviewer ,"Yeah, yeah. Why do you think people laugh about it? I think you're right, I think they do. But why do you think people have a laugh about it?"
participant10,57, Interviewee ,"It doesn't get talked about that much and people make jokes about balls and stuff like that and just kind of turn it into a funny thing a lot of the time. If not in a PSHE classroom, like, kind of a joke almost. "
